date,tmean,tmin,tmax,humidite,Ra,ETo,VPD,soil_temp,soil_moisture,soil_ph,soil_ec,nitrogen,phosphorus,potassium,soil_type,categorie,crop_name,Kc,root_depth_cm,growth_stage,days_since_irrigation,last_irrigation_volume_mm,irrigation_method,station_id,solar_radiation,wind_speed
2020-01-01,9.96,7.57,14.01,76.92,15.81052623,2.56174889,0.282655001,9.76,55.0,7.74095191851052,0.9429593208834562,29.669747362804397,11.60752634756389,258.7407028792846,clay-loam,3,maïs,1.2,87,3,11,3.982714934301164,goutte_à_goutte,2.0,14.90246869631377,2.0130925745929
2020-01-02,10.59,7.76,15.65,86.79,15.86553304,2.909955837,0.168739753,10.02,55.0,7.990638953318275,1.184534583131105,24.96349739624404,13.472502684731737,106.05095276230864,clay-loam,1,pomme_de_terre,1.1,52,2,12,2.993292420985183,goutte_à_goutte,2.0,13.367209107384893,2.035643630274731
2020-01-03,9.89,6.09,15.14,88.67,15.92493288,3.051073654,0.138105949,9.55,55.0,8.005405061613335,1.0289699082128776,28.27625042546338,12.013094694774283,183.61024720612684,clay-loam,2,figuier,0.95,120,3,11,2.229163764267956,goutte_à_goutte,2.0,20.1702853448665,2.3194784071063728
2020-01-04,12.18,8.72,14.67,81.78,15.98871001,2.689251213,0.258596111,12.04,55.0,8.141789103753021,1.226002090629431,37.147317275177,15.552090234730596,197.91699883093327,clay-loam,2,amandier,0.95,124,1,11,0.2904180608409973,goutte_à_goutte,2.0,16.985253677899323,1.6457559492354543
2020-01-05,12.76,9.91,14.6,79.54,16.05684733,2.444150167,0.301666001,12.59,55.0,7.589942491015752,1.3929248446444056,42.77856655030514,20.985892657309563,200.79543291998155,clay-loam,2,maïs,1.2,80,5,12,1.668543055695109,surface,2.0,16.069527429247785,1.78247369988207
2020-01-06,11.27,8.62,15.56,71.21,16.12932627,2.840984276,0.384766983,10.74,55.0,8.1777701821542,1.918577243165692,35.70487330863573,11.144789214293978,209.02480280390407,clay-loam,2,vigne,0.95,126,5,12,3.540362888980227,aspersion,2.0,19.549705028152577,1.260998872347908
2020-01-07,11.0,7.55,15.47,82.04,16.20612686,3.021079464,0.235763459,10.69,55.0,7.188682510519167,1.3394204806471488,31.017232084717698,20.004102488842072,230.52199099047465,clay-loam,2,figuier,0.95,126,3,10,0.2820578951355013,goutte_à_goutte,2.0,20.74566516772191,0.8543535965579674
2020-01-08,12.15,10.64,14.48,88.66,16.28722764,2.198555541,0.160630752,12.15,56.0,7.811034634290856,0.7071871466152037,44.98011770304427,11.091639638265562,198.2296280477325,clay-loam,3,tomate,1.1,55,5,12,4.162213204002109,goutte_à_goutte,2.0,17.113462053359285,1.4457514546016084
2020-01-09,11.05,8.3,14.5,86.54,16.3726057,2.70512477,0.17727943,11.46,57.0,7.853517847264537,2.07003392324758,26.871635269484777,10.761863937515578,181.59708589281595,clay-loam,1,olivier,0.95,114,2,10,0.0038938292050716,goutte_à_goutte,2.0,18.44037041513482,1.2148370928734915
2020-01-10,10.25,7.39,15.8,86.41,16.46223657,3.079977457,0.169696471,10.58,56.0,8.189998047821371,1.08145493319248,40.30919338366907,19.09297309171607,179.62053276701522,clay-loam,2,figuier,0.95,117,3,9,3.0874075481385828,goutte_à_goutte,2.0,16.11017077727974,2.168356147710305
