date,soil_temp,soil_moisture,soil_ph,soil_ec,nitrogen,phosphorus,potassium,soil_type,categorie,crop_name,Kc,root_depth_cm,growth_stage,days_since_irrigation,last_irrigation_volume_mm,irrigation_method
2020-01-01,5.0,69.12410862512809,7.74095191851052,0.9429593208834562,29.669747362804394,11.60752634756389,258.7407028792846,clay-loam,3,maïs,1.2,87,3,11,3.982714934301164,goutte_à_goutte
2020-01-02,5.0,70.0,7.990638953318275,1.184534583131105,24.963497396244037,13.472502684731735,106.05095276230864,clay-loam,2,pomme_de_terre,1.1,52,2,12,2.993292420985183,goutte_à_goutte
2020-01-03,5.0,68.5379003950002,8.005405061613335,1.0289699082128776,28.27625042546338,12.013094694774285,183.61024720612684,clay-loam,1,figuier,0.95,120,3,11,2.229163764267956,goutte_à_goutte
2020-01-04,5.0,70.0,8.141789103753021,1.226002090629431,37.147317275176995,15.552090234730597,197.91699883093327,clay-loam,1,amandier,0.95,124,1,11,0.2904180608409973,goutte_à_goutte
2020-01-05,5.0,63.03192666523107,7.589942491015752,1.3929248446444056,42.77856655030514,20.985892657309563,200.79543291998155,clay-loam,3,maïs,1.2,80,5,12,1.668543055695109,surface
2020-01-06,5.0,70.0,8.1777701821542,1.9185772431656922,35.70487330863573,11.144789214293978,209.02480280390407,clay-loam,1,vigne,0.95,126,5,12,3.540362888980227,aspersion
2020-01-07,5.0,70.0,7.188682510519167,1.3394204806471488,31.017232084717698,20.004102488842072,230.52199099047465,clay-loam,1,figuier,0.95,126,3,10,0.2820578951355013,goutte_à_goutte
2020-01-08,5.0,68.41455684465905,7.8110346342908565,0.7071871466152037,44.98011770304427,11.091639638265562,198.22962804773246,clay-loam,2,tomate,1.1,55,5,12,4.162213204002109,goutte_à_goutte
2020-01-09,5.0,70.0,7.853517847264537,2.07003392324758,26.871635269484777,10.761863937515578,181.59708589281595,clay-loam,1,olivier,0.95,114,2,10,0.0038938292050716417,goutte_à_goutte
2020-01-10,5.0,70.0,8.189998047821371,1.08145493319248,40.30919338366907,19.09297309171607,179.62053276701522,clay-loam,1,figuier,0.95,117,3,9,3.0874075481385828,goutte_à_goutte
2020-01-11,5.0,64.46220067815513,8.00678925580306,1.4706397864476857,27.119372016487212,19.609681890038082,169.42420989808227,clay-loam,2,tomate,1.1,51,4,14,2.6237821581611893,aspersion
2020-01-12,5.0,68.68637610716893,7.578331083843114,1.7232682534703558,34.31022958010893,19.25704968381327,239.37716621634326,clay-loam,2,pomme_de_terre,1.1,65,2,13,1.4561457009902097,surface
2020-01-13,5.0,68.6542882510635,7.704502062254895,1.5998052092013915,28.864374352095485,8.421012958909294,167.67357602617426,clay-loam,1,amandier,0.95,129,2,14,0.23332831606807714,goutte_à_goutte
2020-01-14,5.0,67.80048449445567,8.059604002864223,2.047089773760738,29.441478173471893,12.670245109639746,242.33855545041223,clay-loam,2,pomme_de_terre,1.1,61,2,7,1.9123099563358137,goutte_à_goutte
2020-01-15,5.0,70.0,7.976279797440633,1.7395015716963795,26.2261348253779,19.114942960016606,200.94995411299354,clay-loam,2,oignon,1.1,55,4,8,2.9620728443102124,goutte_à_goutte
2020-01-16,5.0,70.0,7.826262767109276,1.069345210151446,43.448540311806944,15.207709202819473,173.93725965719352,clay-loam,1,amandier,0.95,110,1,7,4.299702033681603,aspersion
2020-01-17,5.0,70.0,7.855749863146406,2.5892810869958307,22.67073961891465,9.631535769012679,230.92036078720673,clay-loam,2,pomme_de_terre,1.1,53,5,11,0.8526206184364576,goutte_à_goutte
2020-01-18,5.0,62.48068817796623,8.208850399147787,1.5971667316691167,22.597677474512917,17.29158969562721,163.62730376384408,clay-loam,1,figuier,0.95,126,3,11,0.06632480579933264,aspersion
2020-01-19,5.0,70.0,7.844692228139236,1.4263298866892469,51.209935658451094,11.425963705042648,231.90920203641065,clay-loam,1,olivier,0.95,122,1,13,4.828160165372797,aspersion
2020-01-20,5.0,66.30370802573263,7.973572626791278,1.9819627115277854,39.77847564654331,23.97262424196106,210.63630605958923,clay-loam,2,pomme_de_terre,1.1,67,3,6,1.9270825126995805,goutte_à_goutte
2020-01-21,5.0,70.0,8.650980976424163,1.6247254729650362,10.0,22.72420731209129,170.18376554540396,clay-loam,3,melon,1.2,74,5,14,0.48836057003191935,aspersion
2020-01-22,5.0,70.0,7.572895208934823,1.6996140964696635,24.347412607895965,18.020487131777838,226.43174076672796,clay-loam,3,piment,1.2,72,4,8,1.2051273301300585,goutte_à_goutte
2020-01-23,5.0,70.0,7.444447180527602,2.7460919993003436,11.880106624379458,21.80503352384887,227.32948628443194,clay-loam,1,olivier,0.95,120,2,11,3.0499832889131047,aspersion
2020-01-24,5.0,65.95589800440445,8.235076899439582,1.3624392858724768,20.493093065847447,15.323956750616906,257.87598029049786,clay-loam,3,melon,1.2,82,2,12,0.17194260557609198,goutte_à_goutte
2020-01-25,5.0,57.40243922089587,7.796407081611769,1.341119552991302,10.0,18.827187471875078,248.3073506204648,clay-loam,3,piment,1.2,73,4,5,1.2938999080000846,goutte_à_goutte
2020-01-26,5.0,70.0,7.904528741677214,1.5582892560062318,28.630104223060577,22.388601476510374,224.56370103631414,clay-loam,3,pastèque,1.2,83,1,12,3.7768070515882624,surface
2020-01-27,5.0,70.0,7.765653086560666,2.035757967790519,18.580581808386885,16.227493408971565,143.62045243956183,clay-loam,2,oignon,1.1,60,1,10,1.039708314340944,aspersion
2020-01-28,5.0,70.0,7.922059957769746,0.7467329849048004,30.599052567964385,13.724064142428581,322.4293494087028,clay-loam,2,oignon,1.1,59,3,8,0.9242722776276352,aspersion
2020-01-29,5.0,70.0,8.479561433628902,0.5172220542617474,13.748787411174753,6.476890209114421,129.8191894464095,clay-loam,1,amandier,0.95,128,4,6,3.8756641168055728,goutte_à_goutte
2020-01-30,5.0,70.0,8.240638537585436,1.2064423646899263,30.8291185317204,14.58433237139253,247.46315871411545,clay-loam,1,vigne,0.95,127,1,6,1.9757511800090721,aspersion
2020-01-31,5.0,70.0,8.258667053566093,0.6830385204703564,25.850837218796727,19.117115922811557,221.5641908443149,clay-loam,2,pomme_de_terre,1.1,55,4,8,2.9894998940554256,goutte_à_goutte
2020-02-01,5.923393552498236,66.2471786727303,7.575131883262206,1.2875843262371807,45.01952965188596,19.72816713783815,141.29288137594426,clay-loam,2,pomme_de_terre,1.1,64,5,12,2.852219872026997,aspersion
2020-02-02,5.0,70.0,7.654653879034139,1.7512498480646452,44.11356861745625,17.521825328592048,193.78495305607504,clay-loam,2,pomme_de_terre,1.1,59,2,13,4.805860121746745,goutte_à_goutte
2020-02-03,5.0,70.0,7.148276402154372,1.054625568223868,37.85345603010283,12.293504525188801,196.062355687768,clay-loam,2,oignon,1.1,54,2,9,1.9433864484474102,surface
2020-02-04,5.0,70.0,7.757185753675174,0.7865867116093288,26.733862193387875,5.115892155262047,265.2791357905262,clay-loam,2,tomate,1.1,54,2,6,2.698460661945399,surface
2020-02-05,5.0,70.0,8.287010955915697,1.5346685808576739,49.85380395260293,12.523924509976325,164.33445498598942,clay-loam,2,oignon,1.1,59,4,12,1.7837666334679465,aspersion
2020-02-06,5.0,70.0,8.15508395472451,1.9312717423075851,14.469647221601793,13.478275644730243,186.9027496787823,clay-loam,2,oignon,1.1,54,4,13,1.481367528520412,goutte_à_goutte
2020-02-07,5.0,69.9551818714625,7.9335460211143625,0.6525132807416937,15.964413704363373,13.435355164049929,100.0,clay-loam,2,pomme_de_terre,1.1,52,3,5,0.07818203370596966,goutte_à_goutte
2020-02-08,5.0,70.0,7.993309914884584,1.910116199152992,29.162169001109355,18.092781784889624,286.7381396561789,clay-loam,2,tomate,1.1,55,2,13,3.861223846483287,aspersion
2020-02-09,5.0,63.65462047555441,7.793334337227378,1.908653101869163,52.540381089211195,24.9283820550742,146.47658784899645,clay-loam,1,olivier,0.95,113,3,12,0.027610585618011996,goutte_à_goutte
2020-02-10,5.060369280079202,68.93588042443591,8.061427664720535,1.977042551078314,27.976610931299124,15.617646009205465,216.34554321195876,clay-loam,2,pomme_de_terre,1.1,67,2,7,3.534286719238086,aspersion
2020-02-11,5.0,70.0,8.229763483844184,2.109240107435843,28.16754756790718,13.916341054217693,194.9296085139068,clay-loam,1,vigne,0.95,118,3,7,3.9508777026560282,goutte_à_goutte
2020-02-12,5.0,69.87955801032703,7.515233963776859,2.6010069623298078,15.580896438881908,13.703890934979537,195.099951660833,clay-loam,1,olivier,0.95,126,3,9,4.631504392566745,goutte_à_goutte
